titulo,autor,idioma,editora,media_avaliacao,total_avaliacao,abandonos,relendo,querem_ler,lendo,leram,genero_literario,genero,grau_popularidade
A Outra Sra. Parrish,Liv Constantine,português,HarperCollins,4.2,1,11,1,2,47,1,suspense e mistério,Feminino,Baixa
O Cortador de Pedras,Camilla Läckberg,português,Planeta,4.2,357,3,2,534,15,547,suspense e mistério,Feminino,Baixa
Alta Tensão,Harlan Coben,português,Arqueiro,4.2,4,122,5,5,224,7,suspense e mistério,Feminino,Baixa
Confie em Mim,Harlan Coben,português,Arqueiro,4.2,11,243,19,9,480,19,suspense e mistério,Feminino,Baixa
Não conte a ninguém,Harlan Coben,português,Arqueiro,4.2,19,391,29,13,873,32,suspense e mistério,Feminino,Baixa
A Mulher Na Janela,A.J. Finn,português,Arqueiro,4.2,10,221,8,11,831,12,suspense e mistério,Feminino,Baixa
Imaculada,Kami Garcia,português,Galera,4.2,106,1,0,324,7,129,suspense e mistério,Feminino,Baixa
Querido e Devotado Dexter,Jeff Lindsay,português,Planeta,4.2,3,63,7,3,171,6,suspense e mistério,Feminino,Baixa
O Jardim das Borboletas,Dot Hutchison,português,Planeta,4.2,2,23,1,4,106,2,suspense e mistério,Feminino,Baixa
Ônix,Jennifer L. Armentrout,português,Valentina,4.2,3,49,12,1,157,4,suspense e mistério,Feminino,Baixa
A Hora das Bruxas,Anne Rice,português,Rocco,4.2,2,268,19,4,241,4,suspense e mistério,Feminino,Baixa
A Identidade Bourne,Robert Ludlum,português,Rocco,4.2,613,43,1,734,68,1,suspense e mistério,Feminino,Baixa
Na Própria Carne,Gillian Flynn,português,Rocco,4.2,13,200,11,17,718,19,suspense e mistério,Feminino,Baixa
1º a Morrer,James Patterson,português,Rocco,4.2,734,12,0,1,21,1,suspense e mistério,Feminino,Baixa
Os Crimes ABC,Agatha Christie,português,HarperCollins,4.2,9,188,9,5,385,17,suspense e mistério,Feminino,Baixa
A Outra Mulher,Daniel Silva,português,HarperCollins,4.2,36,1,0,564,9,48,suspense e mistério,Feminino,Baixa
A Carta Secreta,Lucinda Riley,português,Arqueiro,4.2,493,6,0,1,33,665,suspense e mistério,Feminino,Baixa
Casa de Espiões,Daniel Silva,português,HarperCollins,4.2,32,1,1,738,6,39,suspense e mistério,Feminino,Baixa
Confie em Mim,Harlan Coben,português,Arqueiro,4.2,11,243,19,9,480,19,suspense e mistério,Feminino,Baixa
Não Conte a Ninguém,Harlan Coben,português,Arqueiro,4.2,19,391,29,13,873,32,suspense e mistério,Feminino,Baixa
2ª Chance,James Patterson,português,Rocco,4.2,444,4,0,875,17,699,suspense e mistério,Feminino,Baixa
Contos Inacabados,J. R. R. Tolkien ,português,HaperCollins,4.2,4,593,27,15,808,8,suspense e mistério,Feminino,Baixa
Calafrio,Sandra Brown,português,Rocco,4.2,347,3,1,665,5,505,suspense e mistério,Feminino,Baixa
Contos de Terror do Tio Montague,chris priestley,português,Rocco,4.2,6,0,0,41,1,13,suspense e mistério,Feminino,Baixa
Objetos Cortantes,Gillian Flynn,português,Intrínseca,4.2,13,200,11,17,718,19,suspense e mistério,Feminino,Baixa
Por Uma Fração de Segundo,David Baldacci,português,Rocco,4.2,45,0,0,131,2,70,suspense e mistério,Feminino,Baixa
A Supremacia Bourne,Robert Ludlum,português,Rocco,4.2,237,7,1,424,13,435,suspense e mistério,Feminino,Baixa
3º Grau,James Patterson,português,Rocco,4.2,339,1,2,911,17,615,suspense e mistério,Feminino,Baixa
Histórias Extraordinárias,Edgar Allan Poe,português,Martin,4.2,7,403,51,6,911,14,suspense e mistério,Feminino,Baixa
Drácula,Bram Stoker,português,Martin,4.2,18,1,101,19,2,31,suspense e mistério,Feminino,Baixa
O Cão dos Baskerville,Sir Arthur Conan Doyle,português,Martin,4.2,15,324,33,5,415,30,suspense e mistério,Feminino,Baixa
O Vale do Terror,Sir Arthur Conan Doyle,português,Martin,4.2,3,66,9,2,132,7,suspense e mistério,Feminino,Baixa
Frankenstein ou O Prometeu Moderno,Mary Shelley,português,Martin,4.2,14,405,48,17,1,24,suspense e mistério,Feminino,Baixa
Caixa de Pássaros,Josh Malerman,português,Intrínseca,4.2,32,651,42,24,1,46,suspense e mistério,Feminino,Baixa
Sharp Objects: Objetos Cortantes,Gillian Flynn,português,Intrínseca,4.2,1,11,1,852,61,1,suspense e mistério,Feminino,Baixa
Caixa de Pássaros: Bird Box,Josh Malerman,português,Intrínseca,4.2,32,651,42,24,1,46,suspense e mistério,Feminino,Baixa
A Vida Que Enterramos,Allen Eskens,português,Intrínseca,4.2,471,4,2,1,24,568,suspense e mistério,Feminino,Baixa
A Vida Que Enterramos,Allen Eskens,português,Intrínseca,4.2,471,4,2,1,24,568,suspense e mistério,Feminino,Baixa
Lugar Nenhum,Neil Gaiman,português,Intrínseca,4.2,5,218,20,9,468,8,suspense e mistério,Feminino,Baixa
Caixa de Pássaros,Josh Malerman,português,Intrínseca,4.2,32,651,42,24,1,46,suspense e mistério,Feminino,Baixa
Tudo o que nunca contei, Celeste Ng ,português,Intrínseca,4.1,2,60,3,9,147,3,suspense e mistério,Feminino,Baixa
Estonteantes,Sara Shepard,português,Rocco,4.1,500,2,0,1,18,913,suspense e mistério,Feminino,Baixa
O Evangelho de Sangue,James Rollins,português,Rocco,4.1,177,1,1,578,36,248,suspense e mistério,Feminino,Baixa
Traiçoeiras,Sara Shepard,português,Rocco,4.1,810,9,0,1,23,1,suspense e mistério,Feminino,Baixa
Impiedosas,Sara Shepard,português,Rocco,4.1,1,28,1,2,47,3,suspense e mistério,Feminino,Baixa
Vinte mil léguas submarinas,Júlio Verne,português,Martin,4.1,10,603,44,10,980,19,suspense e mistério,Feminino,Baixa
O Signo Dos Quatro,Sir Arthur Conan Doyle,português,Martin,4.1,9,113,15,3,277,17,suspense e mistério,Feminino,Baixa
Um Cântico de Natal: e Outras Histórias,Charles Dickens,português,Martin,4.1,265,5,1,636,77,269,suspense e mistério,Feminino,Baixa
Tudo o que nunca contei, Celeste Ng ,português,Intrínseca,4.1,2,60,3,9,147,3,suspense e mistério,Feminino,Baixa
Crimes em Primeiro Grau,Joseph Finder,português,Rocco,4.1,57,4,1,88,4,93,suspense e mistério,Feminino,Baixa
O Caçador de Andróides,Philip K. Dick,português,Rocco,4.1,831,14,4,1,56,1,suspense e mistério,Feminino,Baixa
A Ilha Misteriosa,Júlio Verne,português,Rocco,4.1,2,141,13,4,224,4,suspense e mistério,Feminino,Baixa
Destruidoras,Sara Shepard,português,Rocco,4.1,2,28,1,3,71,4,suspense e mistério,Feminino,Baixa
O Enigma do Oito,Katherine Neville,português,Rocco,4.1,725,100,2,1,93,1,suspense e mistério,Feminino,Baixa
Duas Vidas Por Um Fio,Janet Evanovich,português,Rocco,4.1,49,0,0,107,1,57,suspense e mistério,Feminino,Baixa
Inacreditáveis,Sara Shepard,português,Rocco,4.1,3,78,3,3,112,6,suspense e mistério,Feminino,Baixa
Rede de Sussurros,Chandler Baker,português,Intrínseca,4.1,1,28,2,3,174,1,suspense e mistério,Feminino,Baixa
Rede de Sussurros,Chandler Baker,português,Intrínseca,4.1,1,28,2,3,174,1,suspense e mistério,Feminino,Baixa
REDE DE SUSSURROS,Chandler Baker,português,Intrínseca,4.1,1,28,2,3,174,1,suspense e mistério,Feminino,Baixa
Gelo Negro,Becca Fitzpatrick,português,Intrínseca,4.1,4,73,7,5,149,5,suspense e mistério,Feminino,Baixa
A Origem,Dan Brown,português,Arqueiro,4.1,7,155,15,8,931,11,suspense e mistério,Feminino,Baixa
Até o Fim,Harlan Coben,português,Arqueiro,4.1,1,5,0,2,65,1,suspense e mistério,Feminino,Baixa
O Código Da Vinci,Dan Brown,português,Sextante,4.1,79,4,179,75,2,276,suspense e mistério,Feminino,Baixa
Não fale com estranhos,Harlan Coben,português,Editora,4.1,3,46,3,4,196,4,suspense e mistério,Feminino,Baixa
A prisioneira do tempo,Kate Morton,português,Editora,4.1,137,8,0,1,43,149,suspense e mistério,Feminino,Baixa
O Símbolo Perdido,Dan Brown,português,Sextante,4.1,41,1,112,66,2,129,suspense e mistério,Feminino,Baixa
O Código Da Vinci,Dan Brown,português,Sextante,4.1,79,4,179,75,2,276,suspense e mistério,Feminino,Baixa
O Símbolo Perdido,Dan Brown,português,Sextante,4.1,41,1,112,66,2,129,suspense e mistério,Feminino,Baixa
O Símbolo Perdido,Dan Brown,português,Sextante,4.1,41,1,112,66,2,129,suspense e mistério,Feminino,Baixa
Gritos do Passado,Camilla Läckberg,português,Planeta,4.1,413,5,0,560,17,583,suspense e mistério,Feminino,Baixa
Redenção,Börge Hellström,português,Planeta,4.1,44,2,0,71,6,61,suspense e mistério,Feminino,Baixa
Perguntaram-me Se Acredito Em Deus,Rubem Alves,português,Planeta,4.1,324,7,2,337,25,561,suspense e mistério,Feminino,Baixa
DEXTER,Jeff Lindsay,português,Editora,4.1,6,224,12,5,407,11,suspense e mistério,Feminino,Baixa
O Portador,Sophie Hannah,português,Rocco,4.1,9,1,0,472,0,9,suspense e mistério,Feminino,Baixa
Príncipe Lestat e Os Reinos de Atlântida,Anne Rice,português,Rocco,4.1,95,1,0,1,27,129,suspense e mistério,Feminino,Baixa
Letal,Sandra Brown,português,Rocco,4.1,109,1,0,213,5,133,suspense e mistério,Feminino,Baixa
Os Amadores,Sara Shepard,português,Rocco,4.1,56,0,1,252,4,58,suspense e mistério,Feminino,Baixa
Não Pare!,FML Pepper,português,Valentina,4.1,8,283,37,12,405,11,suspense e mistério,Feminino,Baixa
Jane Precisa de Ajuda,Joy Fielding,português,Rocco,4.1,36,0,0,76,2,54,suspense e mistério,Feminino,Baixa
A Grande Arte,Rubem Fonseca,português,Planeta,4.1,888,45,2,637,49,1,suspense e mistério,Feminino,Baixa
Christine,Stephen King,português,Planeta,4.1,4,246,9,5,244,8,suspense e mistério,Feminino,Baixa
Desespero,Stephen King,português,Planeta,4.1,2,168,6,3,245,4,suspense e mistério,Feminino,Baixa
Metrô 2033,Dmitry Glukhovsky,português,Planeta,4.1,594,68,4,1,116,919,suspense e mistério,Feminino,Baixa
Dexter: A Mão Esquerda de Deus,Jeff Lindsay,português,Planeta,4.1,6,224,12,5,407,11,suspense e mistério,Feminino,Baixa
Perguntaram-me se Acredito em Deus,Rubem Alves,português,Planeta,4.1,324,7,2,337,25,561,suspense e mistério,Feminino,Baixa
"Emily, The Strange: Os Dias Perdidos",Rob Reger,português,Galera,4.1,370,16,2,1,26,541,suspense e mistério,Feminino,Baixa
A Vingança de Mara Dyer,Michelle Hodkin,português,Galera,4.1,2,21,1,2,51,3,suspense e mistério,Feminino,Baixa
O Símbolo Perdido,Dan Brown,português,Arqueiro,4.1,41,1,112,66,2,129,suspense e mistério,Feminino,Baixa
Dexter é Delicioso,Jeff Lindsay,português,Planeta,4.1,1,14,0,3,80,2,suspense e mistério,Feminino,Baixa
O Príncipe da Neblina,Zafón,português,Planeta,4.1,5,40,7,4,208,7,suspense e mistério,Feminino,Baixa
Duplo Dexter,Jeff Lindsay,português,Planeta,4.1,1,17,3,3,81,1,suspense e mistério,Feminino,Baixa
Dexter: A mão esquerda de Deus,Jeff Lindsay,português,Editora,4.1,6,224,12,5,407,11,suspense e mistério,Feminino,Baixa
Quando ela se foi,Harlan Coben,português,Arqueiro,4.1,5,141,13,5,268,10,suspense e mistério,Feminino,Baixa
7° Céu,James Patterson,português,Arqueiro,4.1,520,5,0,951,15,872,suspense e mistério,Feminino,Baixa
O Código Da Vinci,Dan Brown,português,Arqueiro,4.1,79,4,179,75,2,276,suspense e mistério,Feminino,Baixa
Quando Ela Se Foi,Harlan Coben,português,Arqueiro,4.1,5,141,13,5,268,10,suspense e mistério,Feminino,Baixa
8ª Confissão,James Patterson,português,Arqueiro,4.1,342,4,0,734,14,553,suspense e mistério,Feminino,Baixa
"Corra, Alex Cross",James Patterson,português,Arqueiro,4.1,325,7,0,584,18,496,suspense e mistério,Feminino,Baixa
A Casa Negra,Stephen King,português,Planeta,4.1,1,115,4,3,131,2,suspense e mistério,Feminino,Baixa
O Talismã,Peter Straub,português,Planeta,4.1,1,170,9,3,188,2,suspense e mistério,Feminino,Baixa
O Símbolo Perdido,Dan Brown,português,Sextante,4.1,41,1,112,66,2,129,suspense e mistério,Feminino,Baixa
Mate o Próximo,Federico Axat,português,Verus,4.1,314,14,0,941,34,405,suspense e mistério,Feminino,Baixa
Nocte,Courtney Cole,português,Verus,4.1,249,1,0,588,10,234,suspense e mistério,Feminino,Baixa
Bem atrás de você,Lisa Gardner,português,Gutenberg,4.1,1,27,0,1,59,1,suspense e mistério,Feminino,Baixa
A Garota Desaparecida,Lisa Gardner,português,Gutenberg,4.1,530,9,3,1,39,620,suspense e mistério,Feminino,Baixa
Confissões,Kanae Minato,português,Gutenberg,4.1,1,9,0,1,62,1,suspense e mistério,Feminino,Baixa
Sangue Frio,Robert Bryndza,português,Gutenberg,4.1,470,1,0,791,24,537,suspense e mistério,Feminino,Baixa
Origem,Dan Brown,português,Arqueiro,4.1,7,155,15,8,931,11,suspense e mistério,Feminino,Baixa
Não Fale Com Estranhos,Harlan Coben,português,Arqueiro,4.1,3,46,3,4,196,4,suspense e mistério,Feminino,Baixa
O Código Da Vinci,Dan Brown,português,Arqueiro,4.1,79,4,179,75,2,276,suspense e mistério,Feminino,Baixa
Tudo o que nunca contei, Celeste Ng ,português,Intrínseca,4.1,2,60,3,9,147,3,suspense e mistério,Feminino,Baixa
Poirot Perde Uma Cliente,Agatha Christie,português,HarperCollins,4.1,1,16,1,1,33,4,suspense e mistério,Feminino,Baixa
Uma Crença Silenciosa em Anjos,R. J. Ellory ,português,Intrínseca,4.1,880,72,1,1,74,1,suspense e mistério,Feminino,Baixa
Kings of Cool,Don Winslow,português,Intrínseca,4.1,202,14,0,314,15,263,suspense e mistério,Feminino,Baixa
Alfred Hitchcock e os bastidores de Psicose,Stephen Rebello ,português,Intrínseca,4.1,395,25,2,761,43,590,suspense e mistério,Feminino,Baixa
A Síndrome E,Franck Thilliez,português,Intrínseca,4.1,825,28,0,1,47,1,suspense e mistério,Feminino,Baixa
A Boa Filha,Karin Slaughter,português,HarperCollins,4.1,1,58,3,2,127,2,suspense e mistério,Feminino,Baixa
Um Milhão de Mundos Com Você,Claudia Gray,português,HarperCollins,4.1,701,8,1,2,38,900,suspense e mistério,Feminino,Baixa
A Última Viúva,Karin Slaughter,português,HarperCollins,4.1,431,3,0,1,38,485,suspense e mistério,Feminino,Baixa
O Inverno de Frankie Machine,Don Winslow,português,Intrínseca,4.1,147,8,0,358,7,195,suspense e mistério,Feminino,Baixa
Morte na Mesopotâmia,Agatha Christie,português,Nova,4.1,7,98,10,4,222,14,suspense e mistério,Feminino,Baixa
Runner,Patrick Lee,português,Universo,4.1,75,3,0,269,4,104,suspense e mistério,Feminino,Baixa
Vítimas do Silêncio,Janethe Fontes,português,Universo,4.1,270,2,2,537,12,372,suspense e mistério,Feminino,Baixa
Ben-Hur,Lewis Wallace,português,Martin,4.0,731,30,2,980,99,1,suspense e mistério,Feminino,Baixa
Malorie,Josh Malerman,português,Intrínseca,4.0,1,5,1,3,168,1,suspense e mistério,Feminino,Baixa
Raízes do Mal,Gwenda Bond,português,Intrínseca,4.0,892,59,10,2,243,972,suspense e mistério,Feminino,Baixa
Ratos,Gordon Reece,português,Intrínseca,4.0,2,36,3,2,74,2,suspense e mistério,Feminino,Baixa
Assassinato na Casa do Pastor,Agatha Christie,português,HarperCollins,4.0,4,73,2,2,138,8,suspense e mistério,Feminino,Baixa
Um Pressentimento Funesto,Agatha Christie,português,HarperCollins,4.0,1,29,1,1,35,3,suspense e mistério,Feminino,Baixa
Bela Maldade,Rebecca James,português,Intrínseca,4.0,3,71,3,3,95,5,suspense e mistério,Feminino,Baixa
Cem Gramas de Centeio,Agatha Christie,português,HarperCollins,4.0,2,24,5,2,73,5,suspense e mistério,Feminino,Baixa
A Maldição do Espelho,Agatha Christie,português,HarperCollins,4.0,3,72,4,2,110,7,suspense e mistério,Feminino,Baixa
O Mistério dos Sete Relógios,Agatha Christie,português,HarperCollins,4.0,3,74,2,2,144,8,suspense e mistério,Feminino,Baixa
Cem Gramas de Centeio,Agatha Christie,português,Harper,4.0,2,24,5,2,73,5,suspense e mistério,Feminino,Baixa
Pequenos incêndios por toda parte, Celeste Ng ,português,Intrínseca,4.0,4,158,4,8,381,5,suspense e mistério,Feminino,Baixa
A Firma,John Grisham,português,Rocco,4.0,1,26,1,1,71,2,suspense e mistério,Feminino,Baixa
O Dossiê Pelicano,John Grisham,português,Rocco,4.0,955,33,1,800,37,2,suspense e mistério,Feminino,Baixa
Implacáveis,Sara Shepard,português,Rocco,4.0,676,10,3,1,14,1,suspense e mistério,Feminino,Baixa
O Círculo Matarese,Robert Ludlum,português,Rocco,4.0,92,4,0,78,6,176,suspense e mistério,Feminino,Baixa
A Troca,Sandra Brown,português,Rocco,4.0,115,1,0,144,1,207,suspense e mistério,Feminino,Baixa
Contos Legais,John Grisham,português,Rocco,4.0,13,2,0,16,1,17,suspense e mistério,Feminino,Baixa
O Artista da Morte,Daniel Silva,português,Rocco,4.0,96,1,0,258,7,109,suspense e mistério,Feminino,Baixa
Código Explosivo,Ken Follett,português,Rocco,4.0,532,7,1,1,30,801,suspense e mistério,Feminino,Baixa
O Circo da Noite,Erin Morgenstern,português,Intrínseca,4.0,4,377,11,8,394,6,suspense e mistério,Feminino,Baixa
Amaldiçoado ,Joe Hill,português,Arqueiro,4.0,5,283,13,5,290,8,suspense e mistério,Feminino,Baixa
Retrato de Uma Espiã,Daniel Silva,português,Arqueiro,4.0,141,2,1,398,12,210,suspense e mistério,Feminino,Baixa
4 de Julho,James Patterson,português,Arqueiro,4.0,1,26,0,1,42,2,suspense e mistério,Feminino,Baixa
A Mais Bela de Todas,Serena Valentino,português,Universo,4.0,1,29,6,3,93,1,suspense e mistério,Feminino,Baixa
Liberdade,Andrea Portes,português,Galera,4.0,22,1,0,74,2,15,suspense e mistério,Feminino,Baixa
Cobiça,J. R. Ward ,português,Universo,4.0,1,92,1,2,91,1,suspense e mistério,Feminino,Baixa
Mortos Não Contam Segredos,Karen M. McManus,português,Galera,4.0,1,12,1,4,58,1,suspense e mistério,Feminino,Baixa
O Álibi,Sandra Brown,português,Rocco,4.0,234,9,0,261,14,363,suspense e mistério,Feminino,Baixa
A Firma,John Grisham,português,Rocco,4.0,1,26,1,1,71,2,suspense e mistério,Feminino,Baixa
Devastadoras,Sara Shepard,português,Rocco,4.0,444,2,0,1,14,819,suspense e mistério,Feminino,Baixa
A Queda,Guillermo del Toro,português,Rocco,4.0,1,26,3,1,72,1,suspense e mistério,Feminino,Baixa
O Castelo,Franz Kafka,português,Martin,4.0,1,242,8,2,246,2,suspense e mistério,Feminino,Baixa
O Ladrão de Casaca,Maurice Leblanc,português,Martin,4.0,547,15,2,474,39,928,suspense e mistério,Feminino,Baixa
Os Segredos Mais Secretos das Pretty Little Liars,Sara Shepard,português,Rocco,4.0,748,40,0,1,40,1,suspense e mistério,Feminino,Baixa
O Processo,Franz Kafka,português,Martin,4.0,8,1,40,9,1,16,suspense e mistério,Feminino,Baixa
As Viúvas,Lynda La Plante,português,Intrínseca,4.0,288,6,0,1,44,299,suspense e mistério,Feminino,Baixa
Perfeitas,Sara Shepard,português,Rocco,4.0,4,107,3,3,158,7,suspense e mistério,Feminino,Baixa
Perversas,Sara Shepard,português,Rocco,4.0,2,67,3,3,92,4,suspense e mistério,Feminino,Baixa
Irene,James Ellroy,português,Universo,4.0,141,7,2,233,17,190,suspense e mistério,Feminino,Baixa
Um de Nós Está Mentindo,Karen M. McManus,português,Galera,4.0,7,203,9,13,540,10,suspense e mistério,Feminino,Baixa
Lugares Escuros,Gillian Flynn,português,Intrínseca,4.0,4,167,3,7,333,6,suspense e mistério,Feminino,Baixa
Lugares Escuros,Gillian Flynn,português,Intrínseca,4.0,4,167,3,7,333,6,suspense e mistério,Feminino,Baixa
O Mistério dos Sete Relógios,Agatha Christie,português,Harper,4.0,3,74,2,2,144,8,suspense e mistério,Feminino,Baixa
Marionete,Daniel Cole,português,Arqueiro,4.0,348,1,0,1,42,406,suspense e mistério,Feminino,Baixa
Rose Madder ,Stephen King,português,Planeta,4.0,1,60,0,2,108,2,suspense e mistério,Feminino,Baixa
Terra Sem Lei,John Sandford,português,Arqueiro,4.0,111,2,1,264,5,168,suspense e mistério,Feminino,Baixa
Tripulação de Esqueletos,Stephen King,português,Planeta,4.0,1,88,4,3,337,3,suspense e mistério,Feminino,Baixa
Tudo É Eventual,Stephen King,português,Planeta,4.0,1,85,3,2,270,2,suspense e mistério,Feminino,Baixa
"Emily, The Strange: Duas Vezes Estranha",Rob Reger,português,Galera,4.0,84,4,1,645,10,119,suspense e mistério,Feminino,Baixa
Limiar,Jessica Warman,português,Galera,4.0,373,8,1,960,22,529,suspense e mistério,Feminino,Baixa
Silenciadas,Kristina Ohlsson,português,Gutenberg,4.0,183,4,1,424,13,255,suspense e mistério,Feminino,Baixa
O Homem de São Petersburgo,Ken Follett,português,Arqueiro,4.0,829,11,1,2,51,1,suspense e mistério,Feminino,Baixa
Palácio da traição,Jason Matthews,português,Editora,4.0,36,4,1,976,12,44,suspense e mistério,Feminino,Baixa
Ponto De Impacto,Dan Brown,português,Arqueiro,4.0,31,1,38,33,1,92,suspense e mistério,Feminino,Baixa
O Pacto,Joe Hill,português,Arqueiro,4.0,5,283,13,5,290,8,suspense e mistério,Feminino,Baixa
O Caso Rembrandt,Daniel Silva,português,Arqueiro,4.0,260,15,0,510,14,401,suspense e mistério,Feminino,Baixa
Contagem Regressiva,Ken Follett,português,Arqueiro,4.0,532,7,1,1,30,801,suspense e mistério,Feminino,Baixa
A Firma,John Grisham,português,Arqueiro,4.0,1,26,1,1,71,2,suspense e mistério,Feminino,Baixa
Indesejadas,Kristina Ohlsson,português,Gutenberg,4.0,396,9,0,788,15,529,suspense e mistério,Feminino,Baixa
Dexter em Cena,Jeff Lindsay,português,Planeta,4.0,574,5,1,2,56,1,suspense e mistério,Feminino,Baixa
Tudo Que Você Quiser Que Eu Seja,Mindy Mejia,português,Rocco,4.0,159,2,0,1,11,195,suspense e mistério,Feminino,Baixa
Sangue Inocente,James Rollins,português,Rocco,4.0,70,3,0,1,21,106,suspense e mistério,Feminino,Baixa
O Cavalo Amarelo,Agatha Christie,português,HarperCollins,4.0,1,31,3,2,47,3,suspense e mistério,Feminino,Baixa
Punição Para A Inocência,Agatha Christie,português,HarperCollins,4.0,2,44,5,3,148,4,suspense e mistério,Feminino,Baixa
Dexter: Design de um Assassino,Jeff Lindsay,português,Planeta,4.0,1,31,2,3,83,3,suspense e mistério,Feminino,Baixa
Pines,Blake Crouch,português,Planeta,4.0,605,7,1,884,43,738,suspense e mistério,Feminino,Baixa
5º Cavaleiro,James Patterson,português,Arqueiro,4.0,857,7,0,1,26,1,suspense e mistério,Feminino,Baixa
Ponto de Impacto,Dan Brown,português,Arqueiro,4.0,31,1,38,33,1,92,suspense e mistério,Feminino,Baixa
Ponto de Impacto,Dan Brown,português,Sextante,4.0,31,1,38,33,1,92,suspense e mistério,Feminino,Baixa
O Circo da Noite,Erin Morgenstern,português,Intrínseca,4.0,4,377,11,8,394,6,suspense e mistério,Feminino,Baixa
Cordialmente Cruel,Maureen Johnson,português,HarperCollins,4.0,458,14,0,1,51,480,suspense e mistério,Feminino,Baixa
Os Quatro Grandes,Agatha Christie,português,HarperCollins,4.0,2,35,3,1,64,5,suspense e mistério,Feminino,Baixa
Areia Movediça,Malin Persson Giolito,português,Intrínseca,3.9,557,36,0,1,98,603,suspense e mistério,Feminino,Baixa
Festa de Halloween,R. L. Stine,português,Rocco,3.9,276,4,0,137,1,585,suspense e mistério,Feminino,Baixa
O Grito Silencioso,Diane Hoh,português,Rocco,3.9,111,3,1,50,3,222,suspense e mistério,Feminino,Baixa
A Guerra dos Mundos,H. G. Wells,português,Martin,3.9,2,188,4,4,204,3,suspense e mistério,Feminino,Baixa
Impecáveis,Sara Shepard,português,Rocco,3.9,5,201,3,3,209,9,suspense e mistério,Feminino,Baixa
Noite Eterna,Chuck Hogan,português,Rocco,3.9,738,7,0,1,35,1,suspense e mistério,Feminino,Baixa
Latitudes Piratas,Michael Crichton,português,Rocco,3.9,73,3,0,201,0,107,suspense e mistério,Feminino,Baixa
Maldosas,Sara Shepard,português,Rocco,3.9,8,357,26,5,443,14,suspense e mistério,Feminino,Baixa
O demônio na Cidade Branca,Erik Larson,português,Intrínseca,3.9,284,34,0,1,77,386,suspense e mistério,Feminino,Baixa
Um Desafio para Cross,James Patterson,português,Rocco,3.9,207,5,0,512,5,362,suspense e mistério,Feminino,Baixa
Noturno,Guillermo del Toro,português,Rocco,3.9,2,208,5,2,214,3,suspense e mistério,Feminino,Baixa
O Artífice,Tony Ferraz,português,Universo,3.9,178,10,1,331,14,227,suspense e mistério,Feminino,Baixa
À Beira da Eternidade,Melissa E. Hurst,português,Galera,3.9,184,2,0,1,10,206,suspense e mistério,Feminino,Baixa
Inquebrável ,Kami Garcia,português,Galera,3.9,336,4,1,614,13,439,suspense e mistério,Feminino,Baixa
Tudo o que deixamos para trás,Kerry Lonsdale,português,Universo,3.9,29,0,0,158,2,26,suspense e mistério,Feminino,Baixa
Tudo O Que Restou,Kerry Lonsdale,português,Universo,3.9,112,1,0,750,12,131,suspense e mistério,Feminino,Baixa
A Trilogia de Nova Iorque,Paul Auster,português,Planeta,3.9,596,46,0,1,61,907,suspense e mistério,Feminino,Baixa
A Maldição do Cigano,Stephen King,português,Planeta,3.9,3,145,5,3,175,6,suspense e mistério,Feminino,Baixa
Os Olhos Do Dragão,Stephen King,português,Planeta,3.9,2,90,3,2,134,4,suspense e mistério,Feminino,Baixa
Matar Alguém,Roger Franchini,português,Planeta,3.9,37,0,1,92,7,55,suspense e mistério,Feminino,Baixa
Tom Jones,Henry Fielding,português,Rocco,3.9,268,43,1,927,58,513,suspense e mistério,Feminino,Baixa
Tripla espionagem,Ken Follett,português,Editora,3.9,339,5,1,1,30,593,suspense e mistério,Feminino,Baixa
Os Elefantes Não Esquecem,Agatha Christie,português,Nova,3.9,9,156,13,5,258,18,suspense e mistério,Feminino,Baixa
